,Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Predicted_V
1691,Japan,0.791594825285017,0.9588095420725632,0.0858361193232577,5.695305411980706,11.952218605889373,3.036125954452781,0.6045240710539546,1.0496587570306275,0.4964908394726656,4.308084431773183,0.5890998653522623,1.9586543893976465,4.634548338643432
2153,Mexico,0.785552534487927,0.8149881107616788,0.1724090293703201,1.712001096314715,0.2430290174929366,1.36908172647682,0.3596983317357915,0.429533824028642,0.4200198366113586,1.7242693814943857,0.7357596634424611,0.4038294359079106,1.705812392027474
2650,Poland,0.791594825285017,0.9588095420725632,0.1748035992226857,1.2062764017432064,0.0,0.2899670855376252,0.1155692227358826,0.6877215683213889,0.5261661540158595,1.1687347734331646,0.5377219911525445,0.5493783029998781,1.2859345296325113
2881,Saudi Arabia,0.791594825285017,0.9588095420725632,0.0001841976809511,1.9817869764746383,0.0,0.0,0.0,1.896903337050188,0.6939458170100707,1.6619100735808534,0.724455545579847,0.8390086801591132,1.8202296161889198
3084,South Africa,0.6562321101612792,0.7392421569379463,0.2168006704795586,1.8786772566705552,0.5539000575369051,0.0668949802113455,0.1057657541480644,0.6429655291586468,1.0078193362169283,1.5843520087032117,0.4369795262616982,0.3549400279097994,1.8909764872338946
3113,Spain,0.791594825285017,0.9588095420725632,0.2659814512935282,1.1424622997347544,2.661725935404089,2.6057060618578687,0.893606157940172,0.8356810874899987,0.3503969832600192,1.0179026799772375,0.0234336819407487,1.3285909598557184,1.3233422871841705
3449,Ukraine,0.791594825285017,0.9041573981744272,0.0530489321139446,0.7122743494552687,3.827921715458534,0.3568620657489707,0.905645546289303,0.7109673927112836,1.1710335662044944,1.0017727441514168,0.5882497573813823,0.1340855596982437,1.2231699009512218
3491,United Kingdom,0.791594825285017,0.9588095420725632,0.0676005489090892,2.398931423368179,2.6681666337475414,0.6977332995749106,0.3887191639157201,0.9000015493951454,0.3686587152866,1.7971709839750591,0.3064068095719387,1.7286961805261374,1.9445626646866392
52,Algeria,0.7825621742121373,0.9511390657359828,0.0047891397047311,0.353495452522886,0.0,0.0045307357115253,0.0065946905218431,0.2786762048577854,0.5044803472342948,0.4253399023062097,0.5175212283865523,0.1951672589112871,0.2579993075808596
115,Argentina,0.7822540063466539,0.95018025619391,0.1619097615561019,0.6483776936279184,0.2872551461179763,0.9170742107858164,0.572899372014539,0.4895539227996772,0.3720827900415839,0.6229229180870152,1.455585692685038,0.4523760039193255,0.6244068961123689
199,Austria,0.791594825285017,0.9588095420725632,0.5737757761629779,0.1892133529150992,0.0,1.1990458803619262,1.104829228661823,1.1435744232297456,0.3755068647965678,0.260612884006357,0.2640930489950578,2.0409712077130084,0.2624932168951788
220,Azerbaijan,0.7911499014975173,0.8926516836695564,0.0819679680232825,0.1183821763002845,0.0,0.0908812280958917,0.3203826221206751,0.3177301185140373,0.4359988521346168,0.0905588787218965,0.7258155539915138,0.2545237346567226,0.1347234931473172
283,Bangladesh,0.4374353004525004,0.1217688118432155,0.7419482588714208,0.3108151281524207,0.0,0.0223871646922431,0.0363952168681445,0.0383748018506313,0.3344179677367611,0.1884191012479801,0.8009774076009563,0.0340242965695589,0.33447521595170066
325,Belarus,0.791594825285017,0.94634501802562,0.1344643070943736,0.2697858801599233,0.0,0.0031981663846061,0.0061012716187366,0.716314593551099,0.8000921344145716,0.2297312219997597,1.121046840423627,0.2628061060769341,0.24656230961561681
